№;Название;Описание;Фото
2;Б-Банка круглая с крышкой «Чешни» стекло,резина 1,1л D=94,H=220мм прозр.;;/images/2.png
3;Б-БокаSpiegelau Authentis Digestive Set of 4 pcs 4400170 Аутентис  Дижестив 4400170, 0.17л., хр.стекло количество в упаковке: 4 шт.  Словакия, Spiegel;;/images/3.png
4;"Б-Бокал д/бренди ""Классик лонг лайф"" хр стекло 185мл, d=65, н=178мм(СНИФТЕР)";;/images/4.png
5;Б-Бокал для вина «Энотека» стекло 420мл D=65/78,H=220мм прозр.(ДЛЯ КОКТЕЛЕЙ);;/images/5.png
6;"Б-Бокал для вина;хрусталь;250мл;D=85,H=200мм;прозр.01051329 (КОКТЕЛИ-КУБОК ХРУСТАЛЬ)";;/images/6.png
7;"Б-Бокал для горячих напитков «Айриш Кофе» Рива;стекло;225мл;D=75,H=145,L=103мм;прозр01090206";;/images/7.png
8;Б-Бокал для коктейлей (Рыба, медуза, глобус и т.д);;/images/8.png
9;Б-Бокал для пива «Селест» стекло 350мл D=5,8,H=14,8мм прозр.;;/images/9.png
10;Б-Бокал для пива «Каберне» хр.стекло 470мл D=81,H=188мм прозр.( 0,5мл );;/images/10.png
11;"Б-Бокал-флюте «Эксэлтейшн»;хр.стекло;350мл;D=82,H=235мм;прозр01060662(ШАМПАНСКОЕ)";;/images/11.png
12;Б-Гейзер «Пробар» сталь нерж.,пластик D=3,L=11см серебрист.,черный;;/images/12.png
13;Б-Графин стекло 0,5л D=10,8,H=21см прозр.;;/images/13.png
14;"Б-Графин;стекло;250мл;D=90,H=186мм;прозр.";;/images/14.png
15;Б-Декантер «Оупенинг» хр.стекло 0,9л D=21,4,H=24,1см прозр;;/images/15.png
16;Б-Держатель для бокалов подвесной 44.5 см (39);;/images/16.png
17;"Б-Емкость для льда «Проотель»; сталь нерж.; 1, 5л; D=14/9, H=13см; металлич.(кулер мален)";;/images/17.png
18;Б-Инструмент для чайной церемонии;;/images/18.png
19;"Б-Коктейльная рюмка «Энотека»; стекло; 215мл; D=11, 3, H=17 , 4см; прозр.(МАРТИНКА/МОРОЖЕН)01030512/";;/images/19.png
20;Б-Кувшин «Бахус» стекло 250мл D=62,H=175мм прозр. Артикул: 03090481(ПОД ВИНО НЕ ПОДХОДИТ) НЕ СЧИТАЕМ;;/images/20.png
21;Б-Кувшин Ypsilon 0.25 л без ручки,Bormioli Rocco Fidenza прозр.(ДЛЯ ВИНА);;/images/21.png
22;Б-Кувшин мерный «Проотель» сталь нерж. 0,5л D=123,H=95мм серебрист.;;/images/22.png
23;Б-Кувшин мерный 1,0 полипропилен;;/images/23.png
24;Б-Кувшин мерный полипроп. 5л D=20,5,H=26см прозр;;/images/24.png
25;Б-Емкость для льда «Проотель» сталь нерж. 0,95л D=11/9,H=11см металлич.;;/images/25.png
26;Б-Ложка барная «Пробар» с мадлером сталь нерж. ,L=28,B=3см серебрист.;;/images/26.png
27;Б-Ложка для мороженого;;/images/27.png
28;Б-Мензурка ТС ГОСТ-1770-74 стекло 100мл D=55,H=105мм прозр.;;/images/28.png
29;Б-МЕНЗУРКА ТС ГОСТ-1770-74 СТЕКЛО 250МЛ D=75/55,H=125ММ ПРОЗР.;;/images/29.png
30;Б-Мензурка ТС ГОСТ-1770-74 стекло 50мл D=45,H=85мм прозр.;;/images/30.png
31;Б-Нож бар;;/images/31.png
32;Б-Олд Фэшн «Таймлесс» стекло 345мл D=85,H=96мм прозр.(ВИСКИ);;/images/32.png
33;Б-Б-Питчер «Пробар» сталь нерж. 0,6л D=90,H=105мм серебрист.(МОЛОЧНИК);;/images/33.png
34;Б-Питчер «Пробар» сталь нерж. 150мл D=63,H=55мм серебрист.;;/images/34.png
35;Б-Питчер «Пробар» сталь нерж. 350мл D=75,H=90мм серебрист.;;/images/35.png
36;Б-Пробка для вина (для арт. 2070205) резина D=3,H=4см серый;;/images/36.png
37;Б-Пробка для шампанского и игристого вина;;/images/37.png
38;"Б-РЮМКА ДЛЯ ГРАППЫ «ЭДИШН» ХР.СТЕКЛО 90МЛ D=40,H=180,B=62ММ ПРОЗР/Рюмка для ликера 100 мл хр. стекло ""Спиритс"" Chef&Sommelier.";;/images/38.png
39;Б-Сифон для газирования воды;;/images/39.png
40;"Б-Сквизер для лайма «Платинум»;сталь;D=6,L=21см;металлич.";;/images/40.png
41;Б-Соусник 100 мл La Rose Des Sables Didon(молочник);;/images/41.png
42;Б-Стакан смесительный «Пробар» стекло 0,5л D=90,H=165мм прозр. арт. 02030445;;/images/42.png
43;"Б-Стопка «Бостон шот»; стекло; 55мл; D=50, H=85мм; прозр. 01080724(ПОД ВОДКУ)";;/images/43.png
44;Б-Стрейнер «Пробар» сталь нерж. D=74,L=150мм серебрист. 02030517;;/images/44.png
45;Б-Темпер для кофе сталь нерж.,дерево D=57,H=95мм стальной,черный;;/images/45.png
46;Б-Хайбол «Чикаго» стекло 220мл D=75,H=132мм прозр. (ДЕТСКИЙ);;/images/46.png
47;Б-Шампанское-блюдце Nude Хэпберн 195мл,101х101х170мм, хрустальное стекло, 1 ш;;/images/47.png
48;Б-Шейкер европейский «Пробар» сталь нерж. 0,7л D=87,H=240мм серебрист.;;/images/48.png
49;"Б-Шейкер со стаканом Бостон; сталь нерж.; 500мл; D=93/67,H=265мм; металлич.";;/images/49.png
50;Б-Шпигелау Идеальный Бар Лонгдринк Бокал 4508019, 0.35, Германия, -,Шпигелау(ЛИМОНАД);;/images/50.png
51;Блюдо для подачи 350*240*22 мм black sta( для стейка не подошла);;/images/51.png
52;Блюдо овальное 27 см , Серия MARIA 111927;;/images/52.png
53;Блюдце д/кофейной чашки, Серия MARIA 121912;;/images/53.png
54;Блюдце для чайной чашки 15см, Gastronom, Серия MARIA 131915;;/images/54.png
55;"Ваза стеклянная ""Трубка 200"" d-20см. h-50 см¶(толщина стекла 3,8мм) 2298 / Мебель, интерьер¶и декор(БОЛЬШАЯ)";;/images/55.png
56;Вилка десертная 19,2 см, Contour 18/10 7975;;/images/56.png
57;Вилка для торта 14 см, Contour 18/10 7976;;/images/57.png
58;Вилка столовая 21,3 см, Contour 18/10 7970;;/images/58.png
59;Ваза для мороженого 270мл 10см «Айсвиль» (ДЕТ КРЕМАН МОРОЖ);;/images/59.png
60;Крышка d-23см к микроволновой печи прозрачная узор;;/images/60.png
61;Крышка для тарелки D=25,5 ProHotel 4010593 (КЛОШЕ ПЛАСТИК);;/images/61.png
62;Нож десертный 21,6 см, Contour 18/10 7973;;/images/62.png
63;Нож столовый 23,8 см, Contour 18/10 7968;;/images/63.png
64;"П- Блюдо для подачи;сланец натур.;,L=32,5,B=26,5см;черный арт 03021902";;/images/64.png
65;П- Блюдо овальное маленькое, 24 см, 6шт/уп VENDANGES 691824;;/images/65.png
66;П- Блюдо овальное, Д 28см, 6шт/уп VENDANGES,СРЕДНЕЕ 691228;;/images/66.png
67;П- Ложка для коктейлей «Стреза» сталь нерж. ,L=21/4см(Ложка Latte);;/images/67.png
68;П-Блюдо  презентационное 32 см ( оно на складе);;/images/68.png
69;П-Блюдо для рыбы;;/images/69.png
70;"П-Блюдо для улиток «Кунстверк»; фарфор; D=110, H=57, L=190, B=116мм; белый";;/images/70.png
71;П-Блюдо овальное БОЛЬШОЕ 36*24,5 см;;/images/71.png
72;П-Блюдо презентационное, Д 31см, 3 шт/уп VENDANGES, 690632;;/images/72.png
73;П-Блюдо сервировочное, фарфоровый соусник 2 секции 50 мл (АЛЯ не считаем);;/images/73.png
74;"П-Блюдо-звездочка д/компл. «Кунстверк»;фарфор;D=70,H=6,L=71мм;белый Арт 03021103/Соусник керамический с ручкой для подачи и сервировки стола Д(ФУРШЕТ)";;/images/74.png
75;П-Блюдце, Д 8см, - 48шт/уп DIDON (МАСЛЕНКА/КОМППЛЕМ);;/images/75.png
76;П-Бокал Spiegelau Style Burgundy 4678000 Стайл Бургундия 4678000, 0.64л., хр.стекло количество в упаковке: 12 шт.  Германия, Spiegelau(КРАСНОЕ ВИНО);;/images/76.png
77;П-Бокал Spiegelau Style White Wine 4678002 Стайл Белое Вино 4678002, 0.44л., хр.стекло количество в упаковке: 12 шт. Spiegelau(БЕЛОЕ ВИНО);;/images/77.png
78;"П-Бокал-флюте ""Дистинкшн"", стекло,230мл, D=70/ 01060924(ПОД ИГРИСТОЕ)01060924";;/images/78.png
79;П-БОКАЛ-ФЛЮТЕ «ДАНТЕ» СТЕКЛО 180МЛ D=58,H=230ММ ПРОЗР.3.06.2023(ФЛЮТЕ ЛОФТ);;/images/79.png
80;П-Ваза для цветов;;/images/80.png
81;П-ВИЛКА ДЛЯ ДЕСЕРТА INOX 18/10;;/images/81.png
82;П-ВИЛКА ДЛЯ РЫБЫ INOX 18/10;;/images/82.png
83;П-ВИЛКА ДЛЯ СТЕЙКА INOX 18/10 Артикул: 5412083;;/images/83.png
84;П-Вилка для устриц L=14.9см., нерж. сталь 18/10, Juwel, шт;;/images/84.png
85;П-ДЕСЕРТНАЯ ЛОЖКА INOX 18/10;;/images/85.png
